;exp;edu;hab;v_tit;v_desc;score;training_score;;;;;;;
0;Desenvolvedor Front End,Front End Developer;Produção Multimídia,Design Digital e Multimídia;CSS,HTML5,JavaScript,JQuery,Adobe Photoshop,PHP,Adobe Illustrator,SASS,Bootstrap,HTML,WordPress,Linux,AJAX,JSON,Git,Scrum,LESS,GitHub,GitLab,Kanban,Gulp.js,Adobe After Effects,FTP,CSS Sprites,Compass,Web Design Responsivo,SEO (Otimização de motores de busca);Técnico em Informática; Técnico de informática em campo, Sistemas Operacionais: Linux, Mac OS, Windows Outros programas: Servidores Web, AutoCAD, ERP, Microsoft Project, Servidores de E-mail, Servidores Proxy, Software de Contabilidade., Ensino Médio., Conhecimento em Gráficos/Web: Adobe Ilustrator, Adobe Photoshop.;6;0,4;;;;;;;
1;the same;the same;the same;Programador Front-end Pleno; Programador Front-end para desenvolvimento e manutenção de portais/landing pages, aplicativos, newsletters e outras atividades voltadas a área., Web standards, HTML5, CSS3, Pré-processadores (SASS, Compass), Javascript, jQuery, Desenvolvimento cross-browser, Desenvolvimento responsivo, Conhecimentos em SEO, Photoshop (PSD para HTML), AngularJS 1.x, Wordpress. Conhecimentos em PHP.;8;0,2;;;;;;;
2;the same;the same;the same;Programador Front-end; Atuar com o desenvolvimento de Layouts e código Front End de web sites, adaptação para Layouts responsivos, desejável conhecimento em Framework (Bootstrap, angular JS ou similares). Criar soluções de navegação e usabilidade para a melhor experiência do usuário., HTML 5, CSS 3, Java Script, jQuery, Pré- processadores SASS ou LESS, Ferramentas de edição de imagem como Photoshop, Illustrator, ou similares. Diferencial: angular JS, Node.js, Git,;8;0,2;;;;;;;
3;the same;the same;the same;Desenvolvedor Web Front-end Sênior; Atuar no desenvolvimento de aplicações WEB com especialização em Front-end., Desejável Banco de dados (SQL, MySQL). API (RESTFull, Webservice). HTML avançado. CSS avançado. SEO avançado. JavaScript intermediário. SASS. Bootstrap. WordPress. PHP. Adobe Photoshop, Sketch/Adobe Illustrator. Desenvolvimento de interfaces responsivas com técnicas de cross-browser e cross-device. Utilização de alguma ferramenta de gestão de código e versionamento, como: GIT e ou TFS.;7;0,3;;;;;;;
4;the same;the same;the same;Desenvolvedor Front End; Desenvolver iterações no front end de sistemas web e mobile para clientes da empresa., Experiência com HTML, JavaScript, CSS, JQuery, bootstrap. Responsabilidade e interesse em fazer parte de  empresa com DNA na área de webdesign e front end.;6;0,4;;;;;;;
5;the same;the same;the same;Programador Web Designer; Desenvolvimento de aplicações Web / Desktop. Implementação das funcionalidades levantadas pelo departamento de análise. Integração de Sistemas. Automação de Processos. Desenvolvimento de webservices. Manutenção em aplicações existentes. Análise de causa raiz dos problemas reportados., Ensino Superior., Conhecimento em banco de dados SQL Server, programação ASP, ASP.Net, CSS, Dot Net, Ruby Gráficos/Web: 3ds Max, Adobe Ilustrator e Adobe Photoshop.;7;0,3;;;;;;;
6;the same;the same;the same;Desenvolvedor Front- End Sênior; Atuar no desenvolvimento de aplicações para as mais diversas áreas para cliente de grande porte., Conhecimento avançado em HTML5, CSS3 e Sass, conhecimento de TypeScript, Angular e BootStrap, conhecimento de Bower, NPM e Gulp. Prática de desenvolvimento de Layouts Responsivos, conhecimento dos padrões Web (W3C), integrações entre sistemas via API (REST e WEBSERVICE). Desenvolvimento cross-browser, SEO (Otimizações para mecanismos de busca).;6;0,4;;;;;;;
7;the same;the same;the same;Analista Programador PHP; Desenvolver sistemas de aplicação Web e Mobile voltados para ERPs, NF-e, APIs, utilizando a linguagem PHP, programação orientada a objetos, desenvolvimento de web services. Fazer montagem da estrutura de banco de dados e codificação de programas., Experiência em programação PHP, HTML, CSS, JavaScript, SQL, Wordpress e pacote Adobe. Experiência no desenvolvimento de interfaces responsivas. Experiência em desenvolvimento front- end comprovados em PHP e outras linguagens. Experiência comprovada nas especificações solicitadas.;2;0,8;;;;;;;
8;the same;the same;the same;Programador PHP - Wordpress; Atuar com bootstrap JavaScript JQuery, Banco de dados MySQL, GIT, GitHub (diferencial).;8;0,2;;;;;;;
9;the same;the same;the same;Desenvolvedor Web; Atuar com HTML5, CSS3, Drupal, integração de vídeo e multimídia, Javascript, Design responsivo, JQuery e Node.js., Experiência na área. Ensino Superior.;8;0,2;;;;;;;
0;Analista Pleno,Auxiliar administrativo financeiro/suprimentos,Recepcionista,Auxiliar Administrativo. (Estágio),Auxiliar Administrativo.(Estágio);Bacharelado em Administração,Administração de Empresas;ERP (Planejamento de recursos empresariais),Microsoft Excel,Microsoft PowerPoint,Microsoft Office;Analista De Suporte; Suporte técnico a clientes., Superior em redes de computadores ou afins., Conhecimento em Windows Server. Banco de dados: SQL Server Aplicações de Escritório: LibreOffice, Lotus Notes, Microsoft Access, Microsoft Excel, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Open Office, StarOffice Sistemas Operacionais: Windows.;5;0,5;;;;;;;
1;the same;the same;the same;Consultor De Vendas - Software Erp; Atender clientes do para venda de software ERP, CRM e BI, identificar soluções e necessidades técnicas e elaborar proposta comercial., Ensino Médio completo., Aplicações de Escritório: Microsoft Excel, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word.;6;0,4;;;;;;;
2;the same;the same;the same;Suporte Técnico; Atuar na área de TI, dando suporte aos processos e produtos de hardware e software, para desenvolver a habilidade de solucionar os problemas dos colaboradores, clientes e parceiros. Ajudar o suporte técnico no atendimento dos chamados, sempre com supervisão do ponto de contato da área, auxiliar em tarefas administrativas do departamento, instalação e suporte ao pacote Office. Dar suporte na área de Telefonia, Administração em Servidores Windows / Linux e administração em Redes.;6;0,4;;;;;;;
3;the same;the same;the same;Analista de Sistemas; Suporte a ERP, banco de dados, suporte aos usuários e atendimentos nível 1 e 2., Experiência na função. Conhecimentos administrativos e linguagem de programação SQL. Desejável ter boa comunicação.;5;0,5;;;;;;;
4;the same;the same;the same;Assistente de Tecnologia da Informação; Atuar na administração da rede de computadores e suporte aos usuários. Faz manutenção geral dos hardwares e equipamentos, montagem de infraestrutura e manutenção em redes lógicas e elétricas, realizando a verificação e prevenção de quedas de energia., Conhecimentos em processos administrativos, contábeis, fiscal e RH, vivência com o conceito de trabalho ERP para implantação., Formação superior relacionado a tecnologia da informação (ciência da computação, sistema de informação, análise de sistemas, engenharia da computação, tecnólogo de ti), Conhecimentos em processos administrativos, contábeis, fiscal e rh. vivência com o conceito de trabalho erp para implantação, conhecimento avançado em excel, conhecimento em manipulação de arquivos de dados em csv.;2;0,8;;;;;;;
5;the same;the same;the same;Analista Programador Progress; Competências técnicas essenciais: Superior completo em TI, Desenvolvimento em Progress (TOTVS), Templates Datasul, Banco de dados - SQL, Experiência em programação. Competências técnicas desejáveis: Oracle, Java, HTML, soluções Microsoft, Projetos, Implantações de sistemas áreas administrativas. Atividades a serem desenvolvidas: Desenvolvimento e programação dos módulos (Controladoria, Financeiro, Logística), Participação de projetos de melhorias entre as áreas administrativas da empresa.;2;0,8;;;;;;;
6;the same;the same;the same;Auxiliar Administrativo de Tecnologia da Informação; Atuar na instalação de Windows 8, formatação e solução de problemas de Software, instalação do pacote Office e antivírus, instalação de impressoras. Manutenção de equipamentos, ingresso de máquinas e domínio., Ter trabalhado com ERP e desejável ter trabalhado com Protheus., Conhecimento em rotinas administrativas.;3;0,7;;;;;;;
7;the same;the same;the same;Auxiliar de Tecnologia da Informação; Auxiliar no desenvolvimento de projetos, prestar suporte., Cursando Técnico de Tecnologia da Informação, Análise de Sistemas, Ciências da Computação, Redes.;5;0,5;;;;;;;
8;the same;the same;the same;Estágio em Informática; Atuar como desenvolvedor Asp Script., Ensino Superior cursando em Tecnologia da Informação ou Técnico na área de Tecnologia da Informação., Conhecimento em informática.;5;0,5;;;;;;;
9;the same;the same;the same;Programador PHP; Atuar com Framework CakePHP, desenvolvimento back-end de sistemas administrativos, apoio com anormalidades e afins., Experiência na área. Ensino Superior.;2;0,8;;;;;;;
0;Técnico service Desk III;Analise e Desenvolvimento de Sistema,Tecnologia da Informação,Ensino Médio;;Assistente de Service Desk - Suporte Técnico; Realizar instalação, configuração e suporte ao sistema operacional Windows. Atuar com atendimento ao usuário, com configuração de impressora em rede, com mapeamento de unidade de rede e suporte em ambiente com servidores Windows., Experiência com ferramentas do pacote Office e atendimento help desk. Conhecimentos em manutenção de impressoras. Experiência em estruturas de redes Windows (AD, DHCP e DNS). Conhecimentos para suporte e manutenção de servidores Windows.;5;0,5;;;;;;;
1;the same;the same;the same;Técnico em Informática; Realizar a operação e manutenção de micros. Suporte a informática e help desk., Experiência e conhecimentos em servidores Windows 2003 a 2012, Linux e Firewall.;5;0,5;;;;;;;
2;the same;the same;the same;Analista Programador Java Pleno III e Sênior; Executar atividades/demandas de desenvolvimento corretivo e evolutivo de sistemas. Realizar atividades de preparação e configuração de ambiente para desenvolvimento. Realizar análise de escopo de demandas e planejamento de execução. Linguagem J2EE, HTML, CSS, Java script, Banco de Dados., Experiência com desenvolvimento de grandes sistemas na linguagem JAVA., Ensino Superior cursando em Sistemas de Informação, Ciência da Computação ou áreas afins.;3;0,7;;;;;;;
3;the same;the same;the same;Auxiliar de Suporte Técnico; Atuação com suporte técnico à Operação;0;1;;;;;;;
4;the same;the same;the same;Programador Java III; Atuação com as atividades relacionadas a área de programação Java, com desenvolvimento, suporte em anormalidades e afins., Experiência com desenvolvimento Java. Serão diferenciais conhecimentos em EJB, JSF, PrimeFaces, JBoss AS, JavaScript, Hibernate, JPA e SNMP. Graduação em Engenharia da Computação ou Ciência da Computação ou afins., ;5;0,5;;;;;;;
5;the same;the same;the same;Analista Suporte Técnico III; Prestar atendimento a todas as demandas relacionadas a recursos e serviços de TI, envolvendo Help Desk, Infraestrutura de TI, suporte técnico de infraestrutura e sistemas, customização de sistemas existentes conforme demandas. Suporte de áudio e vídeo e segurança da informação, visando a constante disponibilidade e funcionalidade dos sistemas de gestão e controle para os usuários., Superior em TI e áreas afins. Vivência na função. Conhecimento de protocolos de rede, segurança da informação e redes.;6;0,4;;;;;;;
6;the same;the same;the same;Auxiliar de Suporte Técnico; Dar suporte na gestão de incidentes no sistema de Service Desk. Auxiliar no suporte remoto e presencial ao usuário, no que se refere a utilização de softwares e desktops., Cursando Graduação em Sistemas da Informação, Análise de Sistemas, Ciência da Computação ou áreas afins.;5;0,5;;;;;;;
7;the same;the same;the same;Coordenador de Tecnologia da Informação; Dar suporte de TI. Analisar as necessidades locais de TI e infraestrutura e prover as soluções adequadas. Fazer interface com o ti global da empresa., Experiência como Coordenador de Tecnologia da Informação (infraestrurura, redes, sistemas), ambientes microsoft, soluções de rede, service desk. Atendimento ao cliente interno. Cloud computing e soluções de Cloud. , Ensino Superior em Ciências da Computação, Engenharia da Computação, Sistema da Informação ou Tecnologia em Redes de Computadores., Conhecimento de SAP business 1 (desejável). Certificação ITIL (desejável).;5;0,5;;;;;;;
8;the same;the same;the same;Analista de Tecnologia da Informação; Irá atuar com banco de dados, redes, manutenção de sistemas, hardware, software, help desk, Linus, e outros., Experiência na função. Diferencial ter atuado no varejo, conhecimento em banco de dados, redes, manutenção de sistemas, hardware, software, help desk, Linus, e outros. , Ensino Superior completo em Tecnologia Sistemas de Informação.;6;0,4;;;;;;;
9;the same;the same;the same;Desenvolvedor de Sistemas; Leitura e entendimento de documentação técnica. Desenvolvimento Web em Java com Hibernate, Oracle e Struts. Teste funcional sobre o desenvolvimento realizado., Experiência na área de tecnologia da informação ou com Help Desk., Ensino Superior em Andamento em TI ou áreas afins.;2;0,8;;;;;;;
0;Application Development Senior Analyst,Analista de Suporte,Estagiária de TI;Technologist,Computer Systems Analysis;SAP,SAP FI,Microsoft Excel,ERP;Consultor SAP FI; Projetos de implementação SAP, atuando especificamente com FI, academia SAP FI., Experiência na área., Certificação SAP FI.;8;0,2;;;;;;;
1;the same;the same;the same;Consultor SAP FI; Projetos de implementação SAP, atuando especificamente com FI, academia SAP FI., Experiência na área., Certificação SAP FI.;8;0,2;;;;;;;
2;the same;the same;the same;Analista de Suporte SAP Júnior; Atuar com suporte de primeiro nível aos usuários do Sistema SAP. Inglês avançado para conversação., Experiência em suporte de primeiro nível aos usuários do Sistema SAP.;7;0,3;;;;;;;
3;the same;the same;the same;Consultor SAP FI Pleno; Prestar consultoria no desenvolvimento e implantação de módulos SAP. Analisar sistemas, levantar processos e requisitos para solução. Participar na aplicação de testes, análise de funcionalidade e elaboração de documentação técnica., Conhecimentos em SAP FI.;7;0,3;;;;;;;
4;the same;the same;the same;Consultor SAP FI Pleno; Irá atuar com suporte melhorias e projetos SAP FI., Ensino Superior completo.;9;0,1;;;;;;;
5;the same;the same;the same;Consultor de Implantação - ERP Senior Sistemas; Realizar a implantação do ERP da Senior Sistemas em nossos clientes, realizar treinamento para os usuários e esclarecer dúvidas., Necessário experiência em implantação do sistema da Senior nos módulos de finanças, mercado, suprimento e controladoria. Necessário experiência em fazer customizações.;6;0,4;;;;;;;
6;the same;the same;the same;Consultor SAP Basis; Atuar com projetos SAP de Instalações/Upgrades/Suporte em Sistemas SAP 7.X e SAP S4/Hana., Necessário vivência profissional em rotinas de mantenimento de Sistemas SAP 7.X. Experiência em SAP GRC AC (implementação e mantenimento) Experiência em upgrade de EHP e SPS, experiência em SAP Solution Manager 7.1/7.2, experiência em rotinas de HSC. Desejável experiência em instalações Fiori. Desejável experiência em Projetos SAP de Instalações/Upgrades/Suporte em Sistemas SAP 7.X e SAP S4/Hana., Conhecimento em bancos de dados HANA, SYBASE e desejável ORACLE. Desejável certificação SAP HANA/SAP BASIS.;6;0,4;;;;;;;
7;the same;the same;the same;Consultor SAP BW / HANA; Ministrar cursos BW on HANA em um cliente externo, Visão geral do SAP HANA 1,0. SAP HANA Estúdio, arquitetura do SAP de computação in- memory, visão geral sobre o provisionamento de dados em SAP HANA usando, arquivo Simples carregar.SAP Data Services.SAP Replication Server LT, SAP Conexão Direta Extractor (DXC), Modelagem com Co-PA Cenário, reportagem SAP HANA Opções de Conectividade de Dados de Base. Microsoft Excel. SAP BusinessObject para o Office. SAP BusinessObjects para OLAP. SAP BusinessObjects para Explorer. SAP Crystal Reports, BusinessObjects Dashboards SAP. SAP BusinessObjects Web Intelligence, Fundamentos SAP HANA. SAP NetWeaver BW 7,3. SAP HANA otimizado objetos. DataStore Object (DSO). InfoCube. Objeto SemanticPartioned (SPO). Cenários mistos de SAP BW e esquemas HANA. Provedor transitória, Publicação de modelos SAP HANA ao Índice Analítico, Provedor Composite. HANA como sistema de origem via DB Conectar, Workspaces BW, Arquitetura escalável em camadas, sem SAP HANA, Arquitetura escalável em camadas plus plus (LSA + +) com a SAP HANA., Desejável experiência como Consultor SAP BW / HANA., Ensino Superior completo.;5;0,5;;;;;;;
8;the same;the same;the same;Analista SAP BW / HANA; Ministrar cursos BW on HANA em um cliente externo, Visão geral do SAP HANA 1,0. SAP HANA Estúdio, arquitetura do SAP de computação in- memory, visão geral sobre o provisionamento de dados em SAP HANA usando, arquivo Simples carregar.SAP Data Services.SAP Replication Server LT, SAP Conexão Direta Extractor (DXC), Modelagem com Co-PA Cenário, reportagem SAP HANA Opções de Conectividade de Dados de Base. Microsoft Excel. SAP BusinessObject para o Office. SAP BusinessObjects para OLAP. SAP BusinessObjects para Explorer. SAP Crystal Reports, BusinessObjects Dashboards SAP. SAP BusinessObjects Web Intelligence, Fundamentos SAP HANA. SAP NetWeaver BW 7,3. SAP HANA otimizado objetos. DataStore Object (DSO). InfoCube. Objeto SemanticPartioned (SPO). Cenários mistos de SAP BW e esquemas HANA. Provedor transitória, Publicação de modelos SAP HANA ao Índice Analítico, Provedor Composite. HANA como sistema de origem via DB Conectar, Workspaces BW, Arquitetura escalável em camadas, sem SAP HANA, Arquitetura escalável em camadas plus plus (LSA + +) com a SAP HANA., Necessário experiência comprovada na função. , Ensino Superior completo.;4;0,6;;;;;;;
9;the same;the same;the same;Analista de Sistemas; Atuar com suporte ao usuário, hardware e software., Conhecimentos em sistema SAP, ERP e outros.;5;0,5;;;;;;;
0;Analista de suporte,Estagiaria em TI.,Administrative;Bacharel,Sistemas da Informação;SAP,Microsoft Excel,SAP ERP,Gestão,ERP (Planejamento de recursos empresariais),ITIL,5S,Microsoft Project,Microsoft PowerPoint,Microsoft SQL Server,Microsoft Exchange,Desenvolvimento Android,Java,Microsoft Word,Centro de processamento de dados,Metodologia Kaizen,Servidor Windows,Hardware,Administraion,C#,PowerPoint,Management,Microsoft Office;Técnico Externo em Informática; Visitas a clientes externos. Configuração e formatação de notebooks e estações de trabalho. Adições de estações no domínio configuração de roteador wireless, configuração de impressoras de rede e configuração de contas de e-mail., Ensino Superior., Inglês (Básico - Requerido). Banco de dados: SQL Server Aplicações de Escritório: Microsoft Access, Microsoft Excel, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Open Office, StarOffice. Sistemas Operacionais: Linux, Windows.;7;0,3;;;;;;;
1;the same;the same;the same;Analista De Suporte; Suporte técnico a clientes., Superior em redes de computadores ou afins., Conhecimento em Windows Server. Banco de dados: SQL Server Aplicações de Escritório: LibreOffice, Lotus Notes, Microsoft Access, Microsoft Excel, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Open Office, StarOffice Sistemas Operacionais: Windows.;8;0,2;;;;;;;
2;the same;the same;the same;Consultor De Vendas - Software Erp; Atender clientes do para venda de software ERP, CRM e BI, identificar soluções e necessidades técnicas e elaborar proposta comercial., Ensino Médio completo., Aplicações de Escritório: Microsoft Excel, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word.;10;0;;;;;;;
3;the same;the same;the same;Analista Desenvolvedor Pleno; Atuar com desenvolvimento, análise de melhorias e demais funções da área., Experiência com as tecnologias: VB.Net,C e SQL Server. Desejável experiência de 6 meses em Análise e desenvolvimento web. Banco de dados: SQL Server Programação: ASP, ASP.Net, C#, Dot Net, VB.Net. , Ensino Superior cursando em Engenharia/Ciência da Computação, Sistemas da Informação ou similar., Aplicações de Escritório: Microsoft Excel, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word.;7;0,3;;;;;;;
4;the same;the same;the same;Técnico em Informática - Suporte A Software de Automação; Desenvolvimento de aplicações Web / Desktop. Implementação das funcionalidades levantadas pelo departamento de análise. Integração de Sistemas. Automação de Processos. Desenvolvimento de web services. Manutenção em aplicações existentes. Análise de causa raiz dos problemas reportados., Curso Técnico., Banco de dados: Firebird, SQL Server. Aplicações de Escritório: Microsoft Access, Microsoft Excel, Microsoft Outlook, Microsoft Power-Point, Microsoft Word, Open Office e StarOffice. Sistemas Operacionais: JavaOS, Windows. Outros programas: ERP, Servidores Web.;6;0,4;;;;;;;
5;the same;the same;the same;Desenvolvedor .NET; Atuar como desenvolvedor pleno em projetos de tecnologia com o que há de mais recente em plataforma web e mobile., Curso Técnico., Cursos de ASP, VB.Net, Ruby, R, Python, PHP, jQuery, JavaScript, Java, HTML, MATLAB, Dot Net, Cuda extensions, CSS, COBOL, C++, C+, C#, C, ASP.Net, Erlang. Aplicações de Escritório: StarOffice, Open Office, Microsoft Word, Microsoft PowerPoint, LibreOffice, Microsoft Excel, Microsoft Access, Lotus Notes, Microsoft Outlook. Sistemas Operacionais: JavaOS, Windows.;7;0,3;;;;;;;
6;the same;the same;the same;Analista de Suporte Técnico; Atuar com suporte por telefone, in-loco, remoto e help desk. Montagem, manutenção, configuração de computadores, redes, servidores, impressoras e suporte técnico a empresas. Prestar o auxílio ao setor, entre outras atividades da função., Desejável experiência em montagem, manutenção, configuração de computadores, redes, servidores, impressoras e suporte técnico a empresas. Desejável experiência com suporte ao cliente. Experiência em campo e atendimento presencial. , Ensino Médio completo. Desejável Superior na área de TI cursando ou concluído., Conhecimento em Microsoft Access, Microsoft Excel, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word. Sistemas Operacionais: Linux e Windows. Outros programas: Servidores de E-mail.;7;0,3;;;;;;;
7;the same;the same;the same;Técnico de Suporte de Informática; Prestar suporte e manutenção de Desktops e Notebook, atender chamados de clientes - via remoto e presencial prestando os melhores serviços corporativos de informática., Ensino Técnico., Suporte a instalação e configuração do Sistema operacional Windows 2010 e pacote Office . Aplicações de Escritório: LibreOffice, Microsoft Excel, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word. Windows, servidores de E-mail, servidores proxy.;7;0,3;;;;;;;
8;the same;the same;the same;Analista Especialista em Integração De Dados; Atuar com programação, Java, jQuery, MATLAB, PHP, VB.Net, R, Ruby, HTML, Python, Erlang, JavaScript, Cuda extensions, CSS, COBOL, C++, C+, C#, C, ASP.Net, ASP, Dot Net., Conhecimento em Microsoft Word, Microsoft PowerPoint, Microsoft Excel, Microsoft Outlook Sistemas Operacionais: VMS, FreeBSD, IBM OS, JavaOS, Linux, Mac OS, NetBSD, NT 4.0, Solaris, UNIX, Windows.;7;0,3;;;;;;;
9;the same;the same;the same;Programador PHP; Desenvolvimento de aplicações web, levantamento e implementação de requisitos, automação de processos, integração e desenvolvimento de web services, manutenção em aplicações existentes e análise de causa raiz dos problemas reportados., Ensino Superior. Experiência com banco de dados PostgreSQL, programação em CSS, HTML, JavaScript, jQuery e PHP Habilidades com gráficos / web, sendo: Adobe Photoshop e aplicações de escritório, como Microsoft Excel, Microsoft Outlook, Microsoft PowerPoint e Microsoft Word 7. Conhecimentos em sistemas operacionais Linux, Windows 8 e servidores Web. Será um diferencial ter noções em Magento (templating) e programação Android. Domínio sobre Web Services (WSDL e REST) e Angular.JS.;8;0,2;;;;;;;
