;exp;edu;hab;v_tit;v_desc;score;training_score;;;;;;;
0;CTO,Coordenador e Professor MBA,IT Architecture Manager,Coordenador de TI,Analista de Infraestrutura;MBA,Gestão de Projetos,Especialista,MBA Administração de Banco de Dados Oracle,Bacharel,Ciências da Computação;ITIL,Microsoft SQL Server,Big data,Linux,Hadoop,COBIT,Scrum,Cloud Computing,Big Data,DB2,Hive,Oracle Certified DBA,Datacenter Virtualization,SaaS,Enterprise Architecture,PaaS,Virtualization,IT Service Management,VMware Infrastructure,IaaS,Teradata,EMC Storage,SOA,Telecommunications,PMBOK,PMP,Oracle HR,Windows Azure,BI,Exadata,Com,TOGAF,SAS,Solaris,Netezza,vSphere,Pivotal,Inteligência empresarial,Computação em nuvem,Virtualização,Gerenciamento de serviços de TI,Metodologia PMBOK,Telecomunicações,PMP (Profissional de gestão de projeto),TOTVS ERP;Analista de ETL e Banco de Dados Júnior / Pleno; Administra banco de dados, envolvendo manutenção e implementação de processos., Experiência com ETL (podendo ser com Power Center, Data Stage, Integrayion Servicer, Pentaho ou linguagem de qualquer banco de dados). Experiência em Slq ansi ou Sql (Sqlserver,Oracle,Teradata). Experiência com modelagem relacional e Dimensional., Conhecimento em SAS ou Big Data (Hadoop, Hive Sql) ou Microsoft SQL server suite (SSIS, SSAS, SSRS).;8;0,2;;;;;;;
1;the same;the same;the same;Desenvolvedor Web Júnior; Programa, codifica e testa sistemas. Utiliza tecnologias tecnologia Java, JavaScript, Html, PHP, MySQL e SQL Server., Conhecimento em AngularJS, NET e C#. Microsoft .NET Architecture. ;6;0,4;;;;;;;
2;the same;the same;the same;Desenvolvedor Java / Flex; Desenvolver sistemas Java, desenvolvimento em MS SQL e/ou IBM DB2., Ensino Superior completo em áreas de TI. Desejável Pós-graduação ou MBA em área de TI. Conhecimentos em UML, desenvolvimento JEE;0;1;;;;;;;
3;the same;the same;the same;DBA SQL Server Sênior; Atuar com banco de dados: SQL Server e Oracle, otimização de Queries, Tuning, views, jobs, cluster, triggers, back-up e restore, performance, troubleshoot, desenvolvimento de procedures em ambiente complexos e infraestrutura, com modelagem de bases de dados e migração de versões de bancos de dados, com desenvolvimento e implantação de projetos BI e Big Data, ferramentas: Data Flow / Big Query / Data Studio. Desenvolver processos de integração com ETL e relatórios. Definir modelagem e modelos de dados BI., Experiência em administração de banco de dados. Ensino Superior.;7;0,3;;;;;;;
4;the same;the same;the same;Analista Programador PL SQL; Atuar em Oracle SQL e PL/SQL, Oracle Forms e Reports. Efetuar análise de negócio e gestão de projetos (PMBOK e Agile)., Conhecimento em desenvolvimento Java Web. Experiência com Oracle EBS.;6;0,4;;;;;;;
5;the same;the same;the same;Coordenador de Tecnologia da Informação; Dar suporte de TI. Analisar as necessidades locais de TI e infraestrutura e prover as soluções adequadas. Fazer interface com o ti global da empresa., Experiência como Coordenador de Tecnologia da Informação (infraestrurura, redes, sistemas), ambientes microsoft, soluções de rede, service desk. Atendimento ao cliente interno. Cloud computing e soluções de Cloud. , Ensino Superior em Ciências da Computação, Engenharia da Computação, Sistema da Informação ou Tecnologia em Redes de Computadores., Conhecimento de SAP business 1 (desejável). Certificação ITIL (desejável).;6;0,4;;;;;;;
6;the same;the same;the same;Coordenador de TI; Liderar Equipes e Gerenciamento de Projetos., Experiência em projetos de sistemas gerenciais de BI, datawarehouse., Conhecimento em Big Data e Analytics, Conhecimento R, métodos de data driven decision.;5;0,5;;;;;;;
7;the same;the same;the same;Analista Desenvolvedor Java; Atuar como desenvolvedor com atividades de suporte à usuário usando tecnologias Java num SaaS que aplica Big Data na gestão do crédito e cobrança e atuar com atividades de suporte à usuário usando tecnologias Java num SaaS que aplica Big Data na gestão do crédito e cobrança., Experiência avançada com programação Java + Java Web. Framework Spring (Mvc, Data, Rest, etc). SQL. HTML, CSS, Javascript, Bootstrap. Desenvolvimento e integrações de APIs Restful. Será um diferencial experiência com Big Data e AngularJS., Necessário Ensino Superior completo em Ciência da Computação ou cursos afins. Desejável especialização em curso ou concluída.;7;0,3;;;;;;;
8;the same;the same;the same;Analista de Sistemas Sênior (SQL Server / Oracle); Trabalhar com análise e desenvolvimento de sistemas (banco de dados SQL Server, Oracle e gerenciamento de projetos)., Formação: Superior completo em Ciência da Computação, Sistemas da Informação ou áreas afins. Experiência em análise e desenvolvimento de sistemas, banco de dados SQL Server, Oracle, gerenciamento de projetos (PMP), suporte de sistemas de Gestão Empresarial (ERP, RH, Importação, Exportação, BI, Varejo, E-commerce). Diferencial: Conhecimento ou experiência com sistema ERP Sapiens e Sistema Varejo.;8;0,2;;;;;;;
9;the same;the same;the same;Gerente Técnico; Gerenciamento da equipe de suporte e infraestrutura. Sistemas operacionais servidores Windows e Linux. Virtualização, administração de Storages e backup. Sistemas de correio eletrônico, gestão de serviços de TI, gerenciamento de projetos, segurança da informação, servidores de aplicação, banco de dados Oracle / SQL. Gestão de processos ITIL., Certificações obrigatórias: ITIL v3-Foundations e certificação de sistema operacional. Certificações desejáveis: Linux LPI 2, ITIL v3 - Intermediate, 70- 411-Administering Windows Server 2012, 70-410 - Installing and Configuring Windows Server 2012, 70- 412-Configuring Advanced Windows Server 2012 Services, PMP e COBIT., Ensino Superior completo em qualquer área de TI ou em qualquer área e curso de Pós-graduação em TI.;6;0,4;;;;;;;
0;Senior Data Scientist,Senior Soa Architect,Senior Software Architect,Senior Software Architect,CTO,Software Architect / Technical Lead (Claro Telecom),Researcher,Senior Software Analyst,Infrastructure Architect,System Analyst;Specialization,Data Science,Specialization,Data Mining,Master,Artificial Intelligence,Bachelor's degree,Computer Science;UML,Java,Oracle,Linux,Hibernate,Desenvolvimento de software,Design Patterns,Tomcat,Java Enterprise Edition,MySQL,Spring,JSF,AJAX,Agile Project Management,SQL,Software Development,SOA,Struts,JavaScript,Server Administration,Python,Web Development,PHP,SOA (Arquitetura voltada para serviços),WebLogic,Spring Framework,C++,Apache Tomcat,Serviços web,jQuery,Oracle SOA Suite,ESB,Weblogic,Oracle BPEL,BPMN,BPEL,Portlets,Agile Methodologies,Natural Language Processing,Machine Learning,Artificial Intelligence,Test Driven Development,Web Services,Apache Struts,Portlet Development,Computational Linguistics,Text Mining;Analista Programador Senior; Irá atuar com com desenvolvimento de sistemas, implantação e acompanhamento de projetos., Necessário experiência na área., Ensino Superior completo.;10;0;;;;;;;
1;the same;the same;the same;Programador Java Sênior; Atuar com programação de desenvolvimento de Java 8, Maven e Spring MVC, Java Beans e Java web. Realizar testes e configurações., Conhecimentos em sistema Senior e nas atividades descritas.;9;0,1;;;;;;;
2;the same;the same;the same;Analista Programador .NET; Desenvolvimento, manutenção e análise de sistemas e de negócio;7;0,3;;; ;; ;; 
3;the same;the same;the same;Programador .NET; Analisar requisitos - de criação e alteração de sistema - junto ao cliente. Analisar backlog na planning phase (SCRUM) e garantir estimativa de esforço e tempo. Desenvolver e garantir qualidade de desenvolvimento em Sprints (SCRUM). Desenvolver aplicações Web utilizando ASP .NET MVC em caráter Cloud Compliance. Desenvolver serviços RESTful de modo que esteja Cloud Compliance, em ASP.Net Web API com .Net Core. Desenvolver serviços Windows para processamentos background. Criar e alterar scripts DML (Data Manipulation Language) , DDL (Data Definition Language) e DQL (Data Query Language) de bancos de dados. Desenvolver aplicações com testes de unidade (Unit Tests). Testar aplicações desenvolvidas, garantindo o escopo como um todo. Planejar e estruturar funcionalidades de acordo com arquitetura existente. Aplicar conceitos de DDD (Domain Driven Design) e orientação a objeto na criação de funcionalidades., Conhecimentos em C#, .NET, ASP.NET, MVC, Entity Framework. Aplicações Web: Web Standards, HTML5, CSS3, JavaScript. Frameworks Javascript: jQuery, Bootstrap, AngularJS, NodeJS. Orientação a objetos: Design Patterns e DDD (Domain Driven Development). Metodologia ágil de Desenvolvimento de Software (SCRUM, Agile, Lean). Conhecimentos conceituais: MVC (Model-View-Controller), MVVM (Model-View-View-Model), TDD (Test Driven Development), Microservices, Entrega Contínua. Conhecimentos em manipulação de dados: ANSI SQL.;7;0,3;;;;;;;
4;the same;the same;the same;Analista Programador Oracle; DBA ORACLE Senior, com experiência em Desenvolvimento Oracle. ;0;1;;;;;;;
5;the same;the same;the same;Consultor de Implantação - ERP Senior Sistemas; Realizar a implantação do ERP da Senior Sistemas em nossos clientes, realizar treinamento para os usuários e esclarecer dúvidas., Necessário experiência em implantação do sistema da Senior nos módulos de finanças, mercado, suprimento e controladoria. Necessário experiência em fazer customizações.;6;0,4;;;;;;;
6;the same;the same;the same;Analista Desenvolvedor .NET; Desenvolvimento, manutenção e análise de sistemas e de negócio, programação orientada a objetos;0;1;;;;;;;
7;the same;the same;the same;Desenvolvedor PHP - Senior; Atuar com PHP - Experiência com Javascript + jQuery - HTML + CSS + XML - Framework Yii e DHTMLx , banco de dados Oracle PL/SQL , desenvolvimento Agile (Scrum)., Experiencia com as programações acima.;7;0,3;;;;;;;
8;the same;the same;the same;Analista / Desenvolvedor SOA; Desenvolvimento, programação, manutenção e testes. Experiência em arquitetura orientada por VITS, desenvolvimento OSB, BPEL, SOA, XPath, DAL e desenvolvimento aplicação para web, JAVA.;8;0,2;;;;;;;
9;the same;the same;the same;Programador Back-end; Desenvolvimento e manutenção em aplicativo multiplataforma utilizando recursos de Inteligência Artificial., Ter conhecimentos em Node.js, Express, APIs RESTFull, MongoDB, GoogleCloud e Natural Language Processing API, chatbots, Inteligência Artificial e Machine Learning.;8;0,2;;;;;;;
0;Consultor,Gerente de projetos / Preposto ,Architect,Consultor,Consultor;Pós Graduação,Docência em ensino superior,pós graduação ,Gerência de Projetos ,Gestão e TI;Microsoft SQL Server,RUP,Microsoft SharePoint,COBIT,JavaScript,ASP.NET,Project Management,Software Project Management,Microsoft Project,Microsoft Office Sharepoint Server,ASP.NET AJAX,ASP,VB.NET,Visual C#,Visual Studio,SharePoint Designer,Gestão de projetos de software,Arquiteto .net;Analista Programador .NET; Atuar com análise e elaboração de documentação do projeto (escopo), programação de sistemas web e mobile, modelagem e criação de Banco de Dados e comunicação com o cliente., Conhecimentos em: Programação ASP, C#.net MVC e Webform, Integração de Sistemas via Webservices e Microsoft SQL Server2012 ou Superior. Trabalhar com Team Fundation, Visual Studio 2015 ou superior. Implantação e integração de projetos na Nuvem (Microsoft, Oracle, Google e AWS (Amazon).Microsoft Office (Word, Excel, Power Point, Project). Diferenciais: Programação PHP, Jquery, SQL Server, MySQL, JSON, entre outros. Desenvolvimento em Mobile Microsoft (Windows mobile 6.0 e 7.0) e Microsoft SharePoint., Desejável Superior completo.;6;0,4;;;;;;;
1;the same;the same;the same;Analista de Sistemas Pleno - Sharepoint; Desenvolvimento de projetos Web em Sharepoint, .NET, C#, MVC e Web Services, banco de dados SQL Server, extração dos dados, criação de dashboard, desenvolvimento responsivo WEB / Smartfone. Banco de dados na Nuvem (Microsoft Azure). Consumo de API\'s de GeoLocalização., Ensino Superior.;6;0,4;;;;;;;
2;the same;the same;the same;Analista Desenvolvedor .NET; Atuar com desenvolvimento .NET, programação, teste e as demais rotinas do cargo., Superior completo ou cursando em Engenharia ou Ciência da Computação Conhecimento das ferramentas: .Net, .Net Core, C#, HTML, Bootstrap, Angular JS, Javascript, JQuery, CSS, ASP.NET, MVC, Web Forms, WCF, Web Services, Windows Forms, Windows Services, Web API, AngularJS, JQuery, Javascript, Ajax e Xamarin. Experiência em Ionic, IIS, VB6, TFS, Git, SVN, Scrum, Visual Studio, Visual Studio Code, Sharepoint, Azure, AWS, SQL Server, Oracle e MySQL. Desejável experiência em Microsoft Sharepoint e Slack. Desejável Inglês fluente.;6;0,4;;;;;;;
3;the same;the same;the same;Desenvolvedor .NET Pleno; Atuará sob orientação de consultores SharePoint para direcionamento de atividades., Experiência com .NET Framework nas versões de 3.5 e superiores., Conhecimento em HTML, CSS, JavaScript e JQuery. Desejável conhecimento na Plataforma SharePoint.;7;0,3;;;;;;;
4;the same;the same;the same;Desenvolvedor Sharepoint; Empresa que atua no mercado tecnológico realizando consultoria no desenvolvimento de soluções em sistemas de informação, estratégias para intranet/internet, fábrica de software e outsourcing;0;1;;;;;;;
5;the same;the same;the same;Analista Programador SharePoint; Atuar com análise de incidentes e problemas oriundos de produção. Desenvolvimento e manutenção de aplicações., Necessário conhecimento em desenvolvimento de Webparts, Features, Event Receiver, Webservices, Reporting Services e ferramentas Sharepoint Design. Desejável conhecimento de jQuery, JavaScript, XML. Desejável conhecimento de Arquitetura SharePoint. Conhecimento intermediário de SQL Server. Desejável Certificação SharePoint - Desejável Desenvolvimento. NET C#. Desejável desenvolvimento Infopath.;7;0,3;;;;;;;
6;the same;the same;the same;Analista Programador C#; Irá atuar com desenvolvimento e manutenção em sistemas C# e Sharepoint, Necessário experiência desenvolvimento C# e sharepoint., Ensino Médio completo.;7;0,3;;;;;;;
7;the same;the same;the same;Analista de Sistemas Pleno; Análise e levantamento de requisitos. Elaboração de orçamento de projetos de TI. Gestão de projetos de sistemas (elaboração e acompanhamento de cronogramas)., Experiência em desenvolvimento de sistemas. Conhecimento intermediário Microsoft Project. Conhecimento de processos de TI. Ter trabalhado em projetos que envolvem algumas destas tecnologias., .NET, ASP, Magento e APIs. Conhecimento intermediário em SQL.;7;0,3;;;;;;;
8;the same;the same;the same;Programador SharePoint; Programa em SharePoint, Work Flow e Forms, .NET, C# e SQL Server, codifica e testa sistemas. Executa a manutenção dos sistemas, fazendo eventuais correções necessárias, visando atender às necessidades dos usuários. Desenvolve trabalhos de montagem, depuração e testes de programas, executando serviços de manutenção nos programas já desenvolvidos., Experiência com desenvolvimento Sharepoint e banco de dados Oracle.;8;0,2;;;;;;;
9;the same;the same;the same;Desenvolvedor Sharepoint; Utilizando as seguintes tecnologias: Sharepoint, .Net, SQL., Conhecimento e domínio das tecnologias,;10;0;;;;;;;
0;Data Scientist,Udacity Code Reviewer - Intro to Data Science, Data Wrangling with MongoDB,Postdoctoral Research Scientist,Fellow;Data Science,Doctor of Philosophy (Ph.D.),Chemistry,Bachelor of Science (B.S.),Chemistry,High School,High School/Secondary Diplomas and Certificates;Data Science,Machine Learning,Python,SQL,MongoDB,NumPy,D3.js,Network Theory,Simulations,Molecular Dynamics,SciPy,Data Analysis,Computational Chemistry,Physical Chemistry,Monte Carlo Simulation,Biophysics,Molecular Modeling,Research,C,Science,Mathematical Modeling,R,Big Data,Linux,Data Visualization;Analista Júnior de ETL; Desenvolvimento e manutenção de processos de ETL utilizando SSIS (Microsoft SQL Server Integration Services., Experiência em: Modelagem data warehouse., Ensino Superior completo em Ciência da Computação, Sistema de Informação e áreas afins., Processos de carga ETL (extração-transformação- carga) nos bancos Oracle ou SQL Server PL/SQL, Data Manager, PowerCenter, Diferencial: SSIS (Integration Service), Data Tools, DataStage;8;0,2;;;;;;;
1;the same;the same;the same;Desenvolvedor Java Sênior; Desenvolvimento, análise de Software entre demais atividades pertinentes ao cargo., Ensino Superior completo., Java Spring Boot Spring Data RESTful API Redis Solar MongoDB.;7;0,3;;;;;;;
2;the same;the same;the same;DBA SQL Server Sênior; Atuar com banco de dados: SQL Server e Oracle, otimização de Queries, Tuning, views, jobs, cluster, triggers, back-up e restore, performance, troubleshoot, desenvolvimento de procedures em ambiente complexos e infraestrutura, com modelagem de bases de dados e migração de versões de bancos de dados, com desenvolvimento e implantação de projetos BI e Big Data, ferramentas: Data Flow / Big Query / Data Studio. Desenvolver processos de integração com ETL e relatórios. Definir modelagem e modelos de dados BI., Experiência em administração de banco de dados. Ensino Superior.;8;0,2;;;;;;;
3;the same;the same;the same;Analista Programador Java; Atuar com big e fast data, modelagem e administração de banco de dados, soluções de integração contínua e desenvolvimento ágil. Experiência em desenvolvimento de sistemas J2EE (Application Server e Design Patterns), inglês técnico para leitura e conversação. Desejável possuir certificação Java.;5;0,5;;;;;;;
4;the same;the same;the same;Programador C++; Desenvolver aplicativos embarcados em dispositivos como roteadores, modems e máquinas de cobrança de cartão de crédito. Ser responsável por desenvolvimento de software de alta complexidade que gera dados de qualidade a serem armazenados em uma plataforma de Big Data., Formação Superior em Ciência da Computação ou Engenharia. Necessário conhecimento profundo de programação em C e C++. Desejável, mas não necessário, conhecimento de plataformas Big Data como Hadoop/Spark e ferramentas como JSON e Kibana. Necessário experiência comprovada em programação.;7;0,3;;;;;;;
5;the same;the same;the same;Coordenador de TI; Liderar Equipes e Gerenciamento de Projetos., Experiência em projetos de sistemas gerenciais de BI, datawarehouse., Conhecimento em Big Data e Analytics, Conhecimento R, métodos de data driven decision.;4;0,6;;;;;;;
6;the same;the same;the same;Analista Desenvolvedor Java; Atuar como desenvolvedor com atividades de suporte à usuário usando tecnologias Java num SaaS que aplica Big Data na gestão do crédito e cobrança e atuar com atividades de suporte à usuário usando tecnologias Java num SaaS que aplica Big Data na gestão do crédito e cobrança., Experiência avançada com programação Java + Java Web. Framework Spring (Mvc, Data, Rest, etc). SQL. HTML, CSS, Javascript, Bootstrap. Desenvolvimento e integrações de APIs Restful. Será um diferencial experiência com Big Data e AngularJS., Necessário Ensino Superior completo em Ciência da Computação ou cursos afins. Desejável especialização em curso ou concluída.;3;0,7;;;;;;;
7;the same;the same;the same;Analista de TI Júnior; Atuará na área de Engenharia da TV, para construção e manutenção de aplicações web e aplicativos orientados às áreas de negócio e ao telespectador., Conhecimento em Linguagens e tecnologias: PHP, JavaScript, HTML e CSS, Frameworks/Microframeworks: Laravel e Lumen, utilização de APIs REST, MySQL, versionamento GIT. Linguagem de programação Python, Desenvolvimento mobile - iOS/Android, Utilização de serviços cloud como AWS/Google/Azure/IBM, Conhece ou utiliza ferramentas de BigData, Conhece ou utiliza ferramentas de Data Science, Gerenciamento básico do Linux como ambiente básico de servidores e Utilização de shell scripts.;3;0,7;;;;;;;
8;the same;the same;the same;Analista de Infraestrutura - Sênior; Atuar com configuração e implantação de redes, manutenção de servidores e data center, planejar capacidade e desenvolver projetos de melhorias dos serviços corporativos., Ensino Superior.;3;0,7;;;;;;;
9;the same;the same;the same;Programador PHP; Atuar com projetos, correções do sistema de CRM e programação., Necessário conhecimento em PHP 5 e 7, MySQL e MariaDB, JavaScript, CSS, Linux Ubuntu Server, Administração Servidor Apache. Diferencial Python, Desenvolvimento Mobile e Big Data. Ser pontual, pró-ativo e senso de dono.;2;0,8;;;;;;;
0;Gerente de desenvolvimento de TI,Development Manager,Development Team Lead,Senior System Analyst,Analista de Sistemas;Ciências da Computação e Informática;Scrum,SQL,SCRUM,Agile,ITIL,Agile Methodologies,UML,Management,Microsoft SQL Server,Oracle,Metodologias ágeis,Análise de requisitos,Gestão,Análise de sistemas,Desenvolvimento de software,Inteligência empresarial,Gestão de projetos de software,Gestão de TI,Gestão de projetos,Análise empresarial,Fast Function Point,Business Transformation Framework,Metrics by Gartner,Gestão de equipes,SDLC (Ciclo de vida do desenvolvimento de software);Gerente de Tecnologia da Informação; Atuar com as atividades de gestão de equipe de TI. Apoiar no desenvolvimento de sistema interno da empresa e telefonia, além de participar de reuniões., Conhecimentos avançados em Protheus, programação e desenvolvimento de sistemas. Experiência em gestão de pessoas. Ensino Superior.;7;0,3;;;;;;;
1;the same;the same;the same;Gerente de Tecnologia da Informação; Ser responsável pela área de TI, gerenciamento e acompanhamento de projetos de implementação de ERP, gestão da equipe de TI, gerenciamento de aplicativos, terceirização de infraestrutura, Telecom e serviços. Garantir o suporte e os ciclos de vida dos sistemas, a disponibilidade da estrutura de TI, o gerenciamento de segurança da informação e apresentação de novos projetos., Ensino Superior completo em Sistemas de Informação., Conhecimento em linguagem SQL, infraestrutura de TI (servidores, storages, redes, sistemas operacionais), softwares de gestão empresarial (ERP), linguagens de desenvolvimento Delphi ou Java, desenvolvimento web e em banco de dados Oracle.;5;0,5;;;;;;;
2;the same;the same;the same;Desenvolvedor .Net / Agile; Desenvolvimento .Net, SQL Server e projetos com metodologia Agile., Vivência nas atividades. Graduação completa.;6;0,4;;;;;;;
3;the same;the same;the same;Analista Programador PL SQL; Atuar em Oracle SQL e PL/SQL, Oracle Forms e Reports. Efetuar análise de negócio e gestão de projetos (PMBOK e Agile)., Conhecimento em desenvolvimento Java Web. Experiência com Oracle EBS.;5;0,5;;;;;;;
4;the same;the same;the same;Analista de Sistemas .NET Sênior; Levantamento e análise de requisitos. Análise de problemas e desenvolvimento de documentos de análise. Negociação de escopo com cliente. Gestão de cronograma., Experiência com Análise de Negócio, Análise de Sistemas, Gestão de Escopo, Gestão de Mudanças e Gestão de Equipe. Desejável vivência com metodologias ágeis. Desejável experiência com desenvolvimento de sistemas em .NET., Conhecimento em banco de dados Oracle ou SQL Server.;6;0,4;;;;;;;
5;the same;the same;the same;Especialista em Tecnologia da Informação - Redes; Atuar com gestão de infraestrutura de TI, gestão de aplicações e gestão de processos de negócios entre outras atividades pertinentes ao cargo.;7;0,3;;;;;;;
6;the same;the same;the same;Analista de Suporte Técnico; Fazer análise técnica, suporte de sistemas empresarias para gestão de pessoas e empresarial., Experiência em SQL, lógica de programação, administração.;7;0,3;;;;;;;
7;the same;the same;the same;Técnico de Suporte Gestão Empresarial; Irá prestar suporte técnico para instalação, configuração e manutenção de software e hardware., Ensino Médio completo. Desejável Ensino Superior em Administração ou Informática, Conhecimento em banco de Dados SQL. Conhecimento de informática, gestão corporativa. Conhecimento médio em SQL e Rede. ;6;0,4;;;;;;;
8;the same;the same;the same;Coordenador de Projetos de TI; Atuar na coordenação de projetos de desenvolvimento de TI e suporte no que for necessário., Experiência anterior em análise e desenvolvimento de sistemas. Conhecimento avançado na metodologia de gestão de projetos.;9;0,1;;;;;;;
9;the same;the same;the same;Programador; Atuar no desenvolvimento e análise de softwares de gestão, modelagem de programação e integração de sistemas., Ensino Superior em Sistemas de Informação ou áreas afins. Conhecimento na função, habilidade com .NET, banco de dados Oracle e SQL Server.;8;0,2;;;;;;;
